Km,Pk,Plus,Layer1,Layer2,Layer3
1283,7,0,120,0,30
1284,0,0,115,0,85
1284,2,96.7,55,17,0
1284,3,0,55,22,123
1284,6,0,48,32,120
1284,7,71.8,23,17,0
1284,9,0,47,28,125
1285,2,0,45,29,126
1285,5,0,45,25,130
1285,8,0,43,24,133
1286,1,0,45,20,135
1286,4,0,45,21,134
1286,7,0,43,21,136
1287,0,0,45,20,135
1287,3,0,46,19,134
1287,6,0,45,23,132
1287,9,0,47,26,127
1288,2,0,51,26,123
1288,6,0,50,25,125
1288,8,0,54,26,120
1289,1,0,53,24,122
1289,4,0,55,25,120
1289,7,0,53,27,120
1290,0,0,50,32,118
1290,3,0,52,33,115
1290,3,29.4,50,33,7
1290,6,0,55,28,117
1290,9,0,60,24,116
1291,3,0,65,18,117
