IdBridge,Km,Pk,Plus,Km4,Pk5,Plus6,AxisHeight,Length,CodeBridgeDeck,IdSpan,CodeSpanType,SpanLength,IsTrafficTop,IdBridge15,ChinkLength,BallastThickness
1,1283,8,2.85,1283,8,15.35,75.97,12.5,BALLAST_DECK,1,FERROCONCRETE,12.5,UP,1,4.02,0.2
2,1284,6,60.05,1284,6,69.35,78.27,9.3,BALLAST_DECK,2,FERROCONCRETE,9.3,UP,2,2.05,0.2
3,1285,8,13.1,1285,8,33.5,80.48,20.4,BALLAST_DECK,3,FERROCONCRETE,20.4,UP,3,9.6,0.2
4,1286,9,64.05,1286,9,75.45,82.17,11.4,BALLAST_DECK,4,FERROCONCRETE,11.4,UP,4,3.97,0.2
5,1289,6,50.65,1289,6,58.95,83.64,8.3,BALLAST_DECK,5,FERROCONCRETE,8.3,UP,5,1.78,0.2
6,1290,5,30.2,1290,5,43,81.11,12.8,BALLAST_DECK,6,FERROCONCRETE,12.8,UP,6,1.86,0.2
7,1291,0,58.25,1291,0,79.75,80.51,21.5,BALLAST_DECK,7,FERROCONCRETE,21.5,UP,7,9.55,0.2
8,1293,1,62.8,1293,1,71.8,86.52,9,BALLAST_DECK,8,FERROCONCRETE,9,UP,8,1.64,0.2
9,1293,9,48.35,1293,9,55.35,86.54,7,BALLAST_DECK,9,FERROCONCRETE,7,UP,9,1.82,0.2
10,1297,6,22.45,1297,6,34.95,88.33,12.5,BALLAST_DECK,10,FERROCONCRETE,12.5,UP,10,4.2,0.2
